"fulldomain","b_fulldomain","category"
"berlijucker.co.th",NULL,"CO"
"carpetmaker.co.th","คาร์เปทเมกเกอร์.ธุรกิจ.ไทย","CO"
"daido.co.th",NULL,"CO"
"eeat.or.th",NULL,"OR"
"foursystems.co.th",NULL,"CO"
"htc.ac.th",NULL,"AC"
"iac.co.th",NULL,"CO"
"iec.co.th",NULL,"CO"
"kirz.co.th",NULL,"CO"
"mat.co.th",NULL,"CO"
"nsc.go.th",NULL,"GO"
"ojipaper.co.th",NULL,"CO"
"onec.go.th",NULL,"GO"
"otgroup.co.th",NULL,"CO"
"payap.ac.th",NULL,"AC"
"pi.co.th",NULL,"CO"
"provision.co.th","โปรวิชั่น.ธุรกิจ.ไทย","CO"
"saijo-denki.co.th",NULL,"CO"
"sapetrotech.co.th",NULL,"CO"
"singerthai.co.th",NULL,"CO"
"stjohn.ac.th",NULL,"AC"
"svoa.co.th","เอสวีโอเอ.ธุรกิจ.ไทย","CO"
"vwin.co.th","วีวิน.ธุรกิจ.ไทย","CO"
"weekend-tours.co.th",NULL,"CO"
"viriyah.co.th",NULL,"CO"
"aoyama.co.th",NULL,"CO"
"fastrak.co.th",NULL,"CO"
"molten.co.th",NULL,"CO"
"itplace.co.th",NULL,"CO"
"mic.co.th",NULL,"CO"
"eec.co.th",NULL,"CO"
"acer.co.th",NULL,"CO"
"kijchai.co.th",NULL,"CO"
"thaiirc.in.th","ไทยไออาร์ซี.ไทย","IN"
"ford.co.th",NULL,"CO"
"natural.co.th","เนเชอรัล.ธุรกิจ.ไทย","CO"
"material.co.th",NULL,"CO"
"kdt.co.th",NULL,"CO"
"digiland.co.th",NULL,"CO"
"best.in.th","เบส.ไทย","IN"
"jotun.co.th",NULL,"CO"
"stdata.co.th",NULL,"CO"
"journallink.or.th",NULL,"OR"
"girls.in.th",NULL,"IN"
"twy.co.th",NULL,"CO"
"sankyu.co.th",NULL,"CO"
"pectecth.co.th",NULL,"CO"
"jobsdb.co.th","จ๊อบส์ดีบี.ธุรกิจ.ไทย","CO"
"index.in.th","อินเด็กซ์.ไทย","IN"
"cscltd.co.th",NULL,"CO"
"ucw.co.th","คอมเวิลด์.ธุรกิจ.ไทย","CO"
"mdtours.co.th","เอ็มดีทัวร์.ธุรกิจ.ไทย","CO"
"thaimeters.co.th",NULL,"CO"
"nok.co.th",NULL,"CO"
"ts2000.co.th",NULL,"CO"
"proen.co.th",NULL,"CO"
"hakuhodobkk.co.th",NULL,"CO"
"isn.co.th",NULL,"CO"
"infoquest.co.th",NULL,"CO"
"leesae.co.th",NULL,"CO"
"trirex.co.th",NULL,"CO"
"masterteam.co.th",NULL,"CO"
"warnerbros.co.th","วอเนอร์.ธุรกิจ.ไทย","CO"
"ag.co.th","เอจี.ธุรกิจ.ไทย","CO"
"palawatr.co.th",NULL,"CO"
"labtest.co.th",NULL,"CO"
"srithana.ac.th",NULL,"AC"
"goodyear.co.th",NULL,"CO"
"market.in.th",NULL,"IN"
"tic.co.th",NULL,"CO"
"bjc.co.th",NULL,"CO"
"bjcspecialties.co.th",NULL,"CO"
"cellox.co.th",NULL,"CO"
"rubia.co.th",NULL,"CO"
"thaiglass.co.th",NULL,"CO"
"bjcfoods.co.th",NULL,"CO"
"bjclogistics.co.th",NULL,"CO"
"wtc.co.th",NULL,"CO"
"buildersmart.co.th",NULL,"CO"
"ibcon.co.th",NULL,"CO"
"scharoen.co.th","ส-เจริญ.ธุรกิจ.ไทย","CO"
"etc.co.th",NULL,"CO"
"technicrayong.ac.th","วิทยาลัยเทคนิคระยอง.ศึกษา.ไทย","AC"
"khonthai.in.th",NULL,"IN"
"visionhouse.co.th","วีชานเฮ้าส์.ธุรกิจ.ไทย","CO"
"arrk.co.th",NULL,"CO"
"ampolfood.co.th",NULL,"CO"
"kawasaki.co.th",NULL,"CO"
"natural.in.th","เนเชอรัล.ไทย","IN"
"teohong.co.th",NULL,"CO"
"siamintersea.co.th","สยามอินเตอร์ซี.ธุรกิจ.ไทย","CO"
"dexon.co.th",NULL,"CO"
"longtex.co.th",NULL,"CO"
"priceline.in.th",NULL,"IN"
"tonan.co.th","โตนาน.ธุรกิจ.ไทย","CO"
"bas.co.th",NULL,"CO"
"avaya.co.th",NULL,"CO"
"tsmec.co.th",NULL,"CO"
"uniinter.co.th",NULL,"CO"
"tudorwatch.in.th","ทิวดอร์วอทช์.ไทย","IN"
"nst.or.th",NULL,"OR"
"minson.co.th",NULL,"CO"
"dynametal.co.th",NULL,"CO"
"mt.ac.th",NULL,"AC"
"pwk.ac.th","ปวค.ศึกษา.ไทย","AC"
"cn.co.th",NULL,"CO"
"edusoft.co.th",NULL,"CO"
"boripat.ac.th",NULL,"AC"
"itfocus.co.th",NULL,"CO"
"elmcon.co.th",NULL,"CO"
"vacationzone.co.th",NULL,"CO"
"cellini.co.th","เซลลินี่.ธุรกิจ.ไทย","CO"
"explorer.co.th","เอ๊กซ์พลอเร่อร์.ธุรกิจ.ไทย","CO"
"oyster.co.th","อ๊อยส์เต้อร์.ธุรกิจ.ไทย","CO"
"perpetualspirit.co.th","เพอร์เพ็ทช่วลสปิริต.ธุรกิจ.ไทย","CO"
"rolesium.co.th","โรเลเซี่ยม.ธุรกิจ.ไทย","CO"
"rolex-daytona.co.th","โรเล็กซ์-เดโทน่า.ธุรกิจ.ไทย","CO"
"rolex-oysterperpetual.co.th","โรเล็กซ์-อ๊อยส์เต้อร์เพอร์เพ็ทช่วล.ธุรกิจ.ไทย","CO"
"jindapong.ac.th","จินดาพงศ์.ศึกษา.ไทย","AC"
"sahalife.co.th",NULL,"CO"
"tjas.ac.th",NULL,"AC"
"rolexawards.co.th","โรเล็กซ์อวอร์ดส.ธุรกิจ.ไทย","CO"
"ave.co.th","เอวีอี.ธุรกิจ.ไทย","CO"
"svc.ac.th",NULL,"AC"
"donboscobkk.ac.th",NULL,"AC"
"dtec.ac.th",NULL,"AC"
"hpt.co.th",NULL,"CO"
"ntt.co.th","เอ็นทีที.ธุรกิจ.ไทย","CO"
"aida.co.th",NULL,"CO"
"wealth.co.th",NULL,"CO"
"tsr.co.th","ทีเอสอาร์.ธุรกิจ.ไทย","CO"
"motorimage.co.th","มอเตอร์อิมเมจ.ธุรกิจ.ไทย","CO"
"daren.co.th",NULL,"CO"
"calibration.co.th",NULL,"CO"
"mci.co.th",NULL,"CO"
"vsquare.co.th",NULL,"CO"
"rolex.co.th","โรเล็กซ์.ธุรกิจ.ไทย","CO"
"cabbagesandcondoms.co.th",NULL,"CO"
"yahoo.in.th",NULL,"IN"
"byokane.co.th",NULL,"CO"
"ashthailand.or.th","มูลนิธิรณรงค์เพื่อการไม่สูบบุหรี่.องค์กร.ไทย","OR"
"ust.co.th",NULL,"CO"
"merrell.co.th",NULL,"CO"
"xnet.co.th",NULL,"CO"
"moeco.co.th",NULL,"CO"
"wj.co.th",NULL,"CO"
"hushpuppies.co.th",NULL,"CO"
"compomax.co.th",NULL,"CO"
"misteel.co.th",NULL,"CO"
"asiasoft.co.th","เอเชียซอฟท์.ธุรกิจ.ไทย","CO"
"fullscale.co.th",NULL,"CO"
"ccare.co.th","ซีแคร์.ธุรกิจ.ไทย","CO"
"cosmamedical.co.th",NULL,"CO"
"tudor.co.th","ทิวดอร์.ธุรกิจ.ไทย","CO"
"e-discovery.co.th",NULL,"CO"
"electrichead.co.th",NULL,"CO"
"tanawat.co.th",NULL,"CO"
"hosodath.co.th",NULL,"CO"
"ttdf.co.th",NULL,"CO"
"sw-phayao.ac.th",NULL,"AC"
"phetpoly.ac.th","สารพัดช่างเพชร.ศึกษา.ไทย","AC"
"ibiz.co.th","ไอบิซ.ธุรกิจ.ไทย","CO"
"imcs.co.th",NULL,"CO"
"panachan.co.th",NULL,"CO"
"trudata.co.th","ทรูดาต้า.ธุรกิจ.ไทย","CO"
"pakphanang.ac.th",NULL,"AC"
"megaweb.co.th","เมกกาเว็บ.ธุรกิจ.ไทย","CO"
"treasury.go.th",NULL,"GO"
"iwatani.co.th",NULL,"CO"
"keng.co.th","เค้งหงษ์ทอง.ธุรกิจ.ไทย","CO"
"made.in.th",NULL,"IN"
"aberdeen-asset.co.th",NULL,"CO"
"shinetsu.co.th",NULL,"CO"
"ti.co.th",NULL,"CO"
"bkkthon.ac.th",NULL,"AC"
"ns.co.th","นิปปอน.ธุรกิจ.ไทย","CO"
"bestex.co.th","เบสเท็กซ์.ธุรกิจ.ไทย","CO"
"tavon.co.th","ถาวร.ธุรกิจ.ไทย","CO"
"tstech.co.th",NULL,"CO"
"fastech.co.th",NULL,"CO"
"sutinop.co.th",NULL,"CO"
"banana.co.th","บานาน่า.ธุรกิจ.ไทย","CO"
"nettravel.co.th",NULL,"CO"
"idaka.co.th",NULL,"CO"
"mastercontrols.co.th",NULL,"CO"
"kajima.co.th",NULL,"CO"
"awaji.co.th",NULL,"CO"
"easyinsure.co.th",NULL,"CO"
"kk.ac.th","แก้งคร้อวิทยา.ศึกษา.ไทย","AC"
"soft-express.co.th",NULL,"CO"
"colorobbia.co.th","โคโลรอบเบีย.ธุรกิจ.ไทย","CO"
"shoei.co.th",NULL,"CO"
"smokefreezone.or.th",NULL,"OR"
"menxon.co.th",NULL,"CO"
"gta-travel.co.th",NULL,"CO"
"snr.ac.th",NULL,"AC"
"pae.co.th","พีเออี.ธุรกิจ.ไทย","CO"
"worldpack.co.th",NULL,"CO"
"excellpress.co.th",NULL,"CO"
"sic.co.th",NULL,"CO"
"submariner.co.th","ซับมารีเน่อร์.ธุรกิจ.ไทย","CO"
"tudorwatch.co.th","ทิวดอร์วอทช์.ธุรกิจ.ไทย","CO"
"musashi.co.th",NULL,"CO"
"seniorsoft.co.th",NULL,"CO"
"shimano.co.th",NULL,"CO"
"ms-ins.co.th",NULL,"CO"
"ainsure.co.th",NULL,"CO"
"ubs.co.th",NULL,"CO"
"villagefarm.co.th","วิลเลจฟาร์ม.ธุรกิจ.ไทย","CO"
"egp.co.th",NULL,"CO"
"morinda.co.th",NULL,"CO"
"variety.co.th",NULL,"CO"
"onep.go.th",NULL,"GO"
"sunsetpark.co.th",NULL,"CO"
"thinksmart.co.th",NULL,"CO"
"eve.co.th",NULL,"CO"
"hp.co.th",NULL,"CO"
"cmcoop.or.th","สหกรณ์ออมทรัพย์ครูเชียงใหม่.องค์กร.ไทย","OR"
"yahoo.co.th","ยาฮู.ธุรกิจ.ไทย","CO"
"alfalaval.co.th",NULL,"CO"
"bigcrane.co.th",NULL,"CO"
"lawreform.go.th",NULL,"GO"
"msoft.co.th",NULL,"CO"
"datejust.co.th","เดทจั๊สท์.ธุรกิจ.ไทย","CO"
"sea-dweller.co.th","ซี-ดเวลเล่อร์.ธุรกิจ.ไทย","CO"
"atlanticmills.co.th",NULL,"CO"
"banprucity.go.th",NULL,"GO"
